00B6984F-4C55-4009-8176-17C98926A601#appfire#A01C25C1-CAFF-4E95-A188-253FCB00B76B#appfire#minNumericValues#appfire#INT#appfire#11#appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire##appfire#0#appfire#column seq#appfire#{"DisplayName":"minNumericValues","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","Widgets":"numberfield","WidgetDisplayName":"NumberField","MinValue":"0","MaxValue":"11","ErrorMessage":"","Finders":"false","Name":"minNumericValues"}#appfire#ATFYFQO0G7U2897NZHRUCQ#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#0#appfire#2016-01-12 18:55:15#appfire#0#appfire#2016-01-12 18:55:15#appfire#0#appfire#1#appfire#8#appfire##appfire##appfire#0#appfire#1
00F25CEC-2024-4113-A93B-1CDD779F6D0E#appfire#776705D8-2F4E-4CB2-AA70-2441B628E1B7#appfire#txnAccessCode#appfire#INT#appfire##appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire##appfire#1#appfire#column seq#appfire#{"DisplayName":"txnAccessCode","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","WidgetDisplayName":"","Widgets":"textfield","MinValue":"","MaxValue":"","ErrorMessage":"","Finders":"false","Name":"txnAccessCode"}#appfire#ATFYFQO0G7U2897NZHRUCQ#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#0#appfire#2016-01-12 18:55:15#appfire#0#appfire#2016-01-12 18:55:15#appfire#0#appfire#1#appfire#24#appfire##appfire##appfire#0#appfire#1
013339FF-7209-4060-97EF-D35A71664093#appfire#173E75E5-ED5C-4396-AB2F-C2D1F441FDED#appfire#appSessionId#appfire#VARCHAR#appfire#256#appfire#0#appfire#0#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire##appfire#0#appfire#column seq#appfire#{"DisplayName":"AppSessionId","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","Widgets":"combo","WidgetDisplayName":"ComboBox","MinValue":"12","MaxValue":"256","ErrorMessage":"","Finders":"false","Name":"appSessionId"}#appfire#ATFYFQO0G7U2897NZHRUCQ#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#0#appfire#2016-01-12 18:55:15#appfire#0#appfire#2016-01-12 18:55:15#appfire#0#appfire#1#appfire#11#appfire##appfire##appfire#0#appfire#1
019FF0E0-F802-4EBA-9264-5BFAAC43433F#appfire#848581CD-963D-4A43-8160-BE1789055292#appfire#createdDate#appfire#DATETIME#appfire##appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire#1900-01-01#appfire#1#appfire#column seq#appfire#{"DisplayName":"createdDate","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","WidgetDisplayName":"","Widgets":"datefield","MinValue":"","MaxValue":"","ErrorMessage":"","Finders":"false","Name":"createdDate"}#appfire#ATFYFQO0G7U2897NZHRUCQ#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#0#appfire#2016-01-12 18:55:15#appfire#0#appfire#2016-01-12 18:55:15#appfire#0#appfire#1#appfire#8#appfire##appfire##appfire#0#appfire#1
01C372B7-7498-4FF0-98DB-290DC985A0B2#appfire#3896A910-353E-47FA-B0B2-04693E8B30B3#appfire#clientNetworkAddress#appfire#INT#appfire#11#appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire##appfire#0#appfire#column seq#appfire#{"DisplayName":"Client Network Address","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","Widgets":"numberfield","WidgetDisplayName":"NumberField","MinValue":"0","MaxValue":"11","ErrorMessage":"","Finders":"false","Name":"clientNetworkAddress"}#appfire#ATFYFQO0G7U2897NZHRUCQ#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#0#appfire#2016-01-12 18:55:15#appfire#0#appfire#2016-01-12 18:55:15#appfire#0#appfire#1#appfire#8#appfire##appfire##appfire#0#appfire#1
01C59DDB-D4FB-4B03-97BD-E558DEEB44DD#appfire#A77465C9-17B6-442F-AF0A-9CA2B2FEB1A9#appfire#contactId#appfire#VARCHAR#appfire#64#appfire#0#appfire#0#appfire#0#appfire#0#appfire#1#appfire#contactId#appfire#ast_CoreContacts_T#appfire#0#appfire##appfire#0#appfire#column seq#appfire#{"DisplayName":"Contact","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","Widgets":"combo","WidgetDisplayName":"ComboBox","MinValue":"0","MaxValue":"64","ErrorMessage":"","Finders":"false","Name":"contactId"}#appfire#ATFYFQO0G7U2897NZHRUCQ#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#0#appfire#2016-01-12 18:55:15#appfire#0#appfire#2016-01-12 18:55:15#appfire#0#appfire#1#appfire#3#appfire##appfire##appfire#0#appfire#1
01FA40B4-102F-474C-AD44-92338076E811#appfire#03AE9AE2-CE7F-4182-9B13-A8B44F7F57E3#appfire#uiType#appfire#VARCHAR#appfire#3#appfire#0#appfire#0#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire##appfire#0#appfire#column seq#appfire#{"DisplayName":"UI Type","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","Widgets":"textfield","WidgetDisplayName":"TextField","MinValue":"0","MaxValue":"3","ErrorMessage":"","Finders":"false","Name":"uiType"}#appfire#ATFYFQO0G7U2897NZHRUCQ#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#0#appfire#2016-01-12 18:55:15#appfire#0#appfire#2016-01-12 18:55:15#appfire#0#appfire#1#appfire#9#appfire##appfire##appfire#0#appfire#1
03050A98-9079-48DD-AF40-D86E0F344934#appfire#805C1F15-CC5B-4F95-81E7-2200D4761A60#appfire#updatedDate#appfire#DATETIME#appfire##appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire#1900-01-01#appfire#1#appfire#column seq#appfire#{"DisplayName":"updatedDate","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","WidgetDisplayName":"","Widgets":"datefield","MinValue":"","MaxValue":"","ErrorMessage":"","Finders":"false","Name":"updatedDate"}#appfire#ATFYFQO0G7U2897NZHRUCQ#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#0#appfire#2016-01-12 18:55:15#appfire#0#appfire#2016-01-12 18:55:15#appfire#0#appfire#1#appfire#10#appfire##appfire##appfire#0#appfire#1
03200941-E922-43C7-B657-6260878C41C1#appfire#5E0F96AB-53AF-4EAA-BF2C-0EB64FB9A929#appfire#txnAccessCode#appfire#INT#appfire##appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire##appfire#1#appfire#column seq#appfire#{"DisplayName":"txnAccessCode","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","WidgetDisplayName":"","Widgets":"textfield","MinValue":"","MaxValue":"","ErrorMessage":"","Finders":"false","Name":"txnAccessCode"}#appfire#ATFYFQO0G7U2897NZHRUCQ#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#0#appfire#2016-01-12 18:55:15#appfire#0#appfire#2016-01-12 18:55:15#appfire#0#appfire#1#appfire#14#appfire##appfire##appfire#0#appfire#1
038E08CB-00AD-4512-A29C-E4D2D7C08277#appfire#F83D086E-B122-4F1D-9E2D-03CFE771085A#appfire#txnAccessCode#appfire#INT#appfire##appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire##appfire#1#appfire#column seq#appfire#{"DisplayName":"txnAccessCode","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","WidgetDisplayName":"","Widgets":"textfield","MinValue":"","MaxValue":"","ErrorMessage":"","Finders":"false","Name":"txnAccessCode"}#appfire#ATFYFQO0G7U2897NZHRUCQ#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#0#appfire#2016-01-12 18:55:15#appfire#0#appfire#2016-01-12 18:55:15#appfire#0#appfire#1#appfire#16#appfire##appfire##appfire#0#appfire#1
03E04EA9-EA20-4EE3-815F-5FB4D057BE67#appfire#9D40994A-D2B5-49BA-9745-4F82E53943DA#appfire#createdBy#appfire#VARCHAR#appfire#64#appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire#-1#appfire#1#appfire#column seq#appfire#{"DisplayName":"createdBy","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","WidgetDisplayName":"","Widgets":"textfield","MinValue":"","MaxValue":"","ErrorMessage":"","Finders":"false","Name":"createdBy"}#appfire#ATFYFQO0G7U2897NZHRUCQ#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#0#appfire#2016-01-12 18:55:15#appfire#0#appfire#2016-01-12 18:55:15#appfire#0#appfire#1#appfire#4#appfire##appfire##appfire#0#appfire#1
